query,group,time,value
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T12:45:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T12:50:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T12:55:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T13:00:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T13:05:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T13:10:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T13:15:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T13:20:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T13:25:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T13:30:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T13:35:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T13:40:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T13:45:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T13:50:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T13:55:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T14:00:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T14:05:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T14:10:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T14:15:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T14:20:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T14:25:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T14:30:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T14:35:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T14:40:00.000Z,896.1707
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T14:45:00.000Z,97606.23
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T14:50:00.000Z,46909.01
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T14:55:00.000Z,27896.06
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-19T15:00:00.000Z,96712.62
