query,group,time,value
"aws.es.indexing_rate",staging:bench-11,2020-09-19T12:45:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T12:50:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T12:55:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T13:00:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T13:05:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T13:10:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T13:15:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T13:20:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T13:25:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T13:30:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T13:35:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T13:40:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T13:45:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T13:50:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T13:55:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T14:00:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T14:05:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T14:10:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T14:15:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T14:20:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T14:25:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-19T14:30:00.000Z,84149640
"aws.es.indexing_rate",staging:bench-11,2020-09-19T14:35:00.000Z,1116559000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T14:40:00.000Z,1105112000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T14:45:00.000Z,1148399000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T14:50:00.000Z,1153842000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T14:55:00.000Z,1121650000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T15:00:00.000Z,1141460000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T15:05:00.000Z,1109165000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T15:10:00.000Z,1122611000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T15:15:00.000Z,1120403000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T15:20:00.000Z,1131414000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T15:25:00.000Z,1171211000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T15:30:00.000Z,1137856000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T15:35:00.000Z,1147083000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T15:40:00.000Z,1114372000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T15:45:00.000Z,1154227000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T15:50:00.000Z,1149809000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T15:55:00.000Z,1131107000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T16:00:00.000Z,1131526000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T16:05:00.000Z,1120544000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T16:10:00.000Z,1115717000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T16:15:00.000Z,1158774000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T16:20:00.000Z,1146335000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T16:25:00.000Z,1149316000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T16:30:00.000Z,1146048000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T16:35:00.000Z,1140513000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T16:40:00.000Z,1137166000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T16:45:00.000Z,1140307000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T16:50:00.000Z,1115582000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T16:55:00.000Z,1135278000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T17:00:00.000Z,1106628000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T17:05:00.000Z,1138808000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T17:10:00.000Z,1122227000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T17:15:00.000Z,1125214000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T17:20:00.000Z,1129815000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T17:25:00.000Z,1125622000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T17:30:00.000Z,1141814000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T17:35:00.000Z,1148770000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T17:40:00.000Z,1107687000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T17:45:00.000Z,1123784000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T17:50:00.000Z,1093254000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T17:55:00.000Z,1147592000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T18:00:00.000Z,1115874000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T18:05:00.000Z,1150922000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T18:10:00.000Z,1132914000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T18:15:00.000Z,1166267000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T18:20:00.000Z,1128863000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T18:25:00.000Z,1151799000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T18:30:00.000Z,1137618000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T18:35:00.000Z,1113206000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T18:40:00.000Z,1118115000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T18:45:00.000Z,1124007000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T18:50:00.000Z,1167540000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T18:55:00.000Z,1140734000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T19:00:00.000Z,1121352000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T19:05:00.000Z,1152935000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T19:10:00.000Z,1119685000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T19:15:00.000Z,1140880000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T19:20:00.000Z,1136776000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T19:25:00.000Z,1107478000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T19:30:00.000Z,1153157000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T19:35:00.000Z,1131040000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T19:40:00.000Z,1162184000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T19:45:00.000Z,1154937000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T19:50:00.000Z,1170047000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T19:55:00.000Z,1110617000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T20:00:00.000Z,1125232000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T20:05:00.000Z,1110893000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T20:10:00.000Z,1108703000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T20:15:00.000Z,1142259000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T20:20:00.000Z,1116937000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T20:25:00.000Z,1129746000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T20:30:00.000Z,1161827000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T20:35:00.000Z,1133962000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T20:40:00.000Z,1154936000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T20:45:00.000Z,1098762000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T20:50:00.000Z,1107735000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T20:55:00.000Z,1114537000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T21:00:00.000Z,1078819000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T21:05:00.000Z,1120377000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T21:10:00.000Z,1107834000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T21:15:00.000Z,1133878000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T21:20:00.000Z,1137357000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T21:25:00.000Z,1127683000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T21:30:00.000Z,1126251000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T21:35:00.000Z,1105009000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T21:40:00.000Z,1118444000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T21:45:00.000Z,1123061000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T21:50:00.000Z,1112448000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T21:55:00.000Z,1151019000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T22:00:00.000Z,1100176000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T22:05:00.000Z,1139871000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T22:10:00.000Z,1107718000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T22:15:00.000Z,1176933000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T22:20:00.000Z,1124101000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T22:25:00.000Z,1127297000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T22:30:00.000Z,1126102000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T22:35:00.000Z,1139864000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T22:40:00.000Z,1138344000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T22:45:00.000Z,1125093000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T22:50:00.000Z,1167841000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T22:55:00.000Z,1149746000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T23:00:00.000Z,1122383000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T23:05:00.000Z,1177624000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T23:10:00.000Z,1146943000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T23:15:00.000Z,1152109000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T23:20:00.000Z,1125795000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T23:25:00.000Z,1131336000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T23:30:00.000Z,1145580000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T23:35:00.000Z,1107238000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T23:40:00.000Z,1095037000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T23:45:00.000Z,1145696000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T23:50:00.000Z,1154820000
"aws.es.indexing_rate",staging:bench-11,2020-09-19T23:55:00.000Z,1132869000
"aws.es.indexing_rate",staging:bench-11,2020-09-20T00:00:00.000Z,1141103000
"aws.es.indexing_rate",staging:bench-11,2020-09-20T00:05:00.000Z,1167609000
"aws.es.indexing_rate",staging:bench-11,2020-09-20T00:10:00.000Z,1188920000
"aws.es.indexing_rate",staging:bench-11,2020-09-20T00:15:00.000Z,1113374000
