query,group,time,value
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T12:45:00.000Z,N/A
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T12:50:00.000Z,N/A
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T12:55:00.000Z,N/A
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:00:00.000Z,N/A
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:05:00.000Z,N/A
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:10:00.000Z,N/A
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:15:00.000Z,N/A
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:20:00.000Z,N/A
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:25:00.000Z,N/A
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:30:00.000Z,N/A
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:35:00.000Z,N/A
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:40:00.000Z,N/A
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:45:00.000Z,N/A
"nuxeo.streams.global.stream.group.lag",hostname:nxbench-bench-11-worker-2826-10-3-9-37-use;staging:bench-11,2020-09-19T13:50:00.000Z,N/A
