query,group,time,value
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T12:45:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T12:50:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T12:55:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T13:00:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T13:05:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T13:10:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T13:15:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T13:20:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T13:25:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T13:30:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T13:35:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T13:40:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T13:45:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T13:50:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T13:55:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T14:00:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T14:05:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T14:10:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T14:15:00.000Z,1476400
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T14:20:00.000Z,1256519
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T14:25:00.000Z,1406115
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T14:30:00.000Z,60.73742
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T14:35:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T14:40:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T14:45:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T14:50:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T14:55:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T15:00:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T15:05:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T15:10:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T15:15:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T15:20:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T15:25:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T15:30:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T15:35:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T15:40:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T15:45:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T15:50:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T15:55:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T16:00:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T16:05:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T16:10:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T16:15:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T16:20:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T16:25:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T16:30:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T16:35:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T16:40:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T16:45:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T16:50:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T16:55:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T17:00:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T17:05:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T17:10:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T17:15:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T17:20:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T17:25:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T17:30:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T17:35:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T17:40:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T17:45:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T17:50:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T17:55:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T18:00:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T18:05:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T18:10:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T18:15:00.000Z,57.47787
"nuxeo.streams.computation.processRecord.max",computation:bulk-scroller;staging:bench-11,2020-09-19T18:20:00.000Z,57.47787
