query,group,time,value
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T12:45:00.000Z,22.62782
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T12:50:00.000Z,22.24674
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T12:55:00.000Z,22.93444
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T13:00:00.000Z,23.11459
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T13:05:00.000Z,22.59723
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T13:10:00.000Z,23.12206
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T13:15:00.000Z,23.39017
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T13:20:00.000Z,23.40056
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T13:25:00.000Z,22.88766
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T13:30:00.000Z,23.27926
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T13:35:00.000Z,23.23299
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T13:40:00.000Z,23.06136
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T13:45:00.000Z,23.37316
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T13:50:00.000Z,22.9117
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T13:55:00.000Z,22.93172
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T14:00:00.000Z,23.41682
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T14:05:00.000Z,22.79197
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T14:10:00.000Z,23.9895
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T14:15:00.000Z,23.55734
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T14:20:00.000Z,22.9293
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T14:25:00.000Z,23.28776
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T14:30:00.000Z,23.13536
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T14:35:00.000Z,25.51141
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T14:40:00.000Z,25.30591
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T14:45:00.000Z,25.66653
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T14:50:00.000Z,24.51927
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-19T14:55:00.000Z,24.55836
