query,group,time,value
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-16T18:30:00.000Z,17.15258
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-16T19:00:00.000Z,20.14223
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-16T19:30:00.000Z,20.02709
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-16T20:00:00.000Z,19.71704
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-16T20:30:00.000Z,14.28133
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-16T21:00:00.000Z,15.2927
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-16T21:30:00.000Z,15.29758
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-16T22:00:00.000Z,14.29722
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-16T22:30:00.000Z,7.725331
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-16T23:00:00.000Z,7.259219
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-16T23:30:00.000Z,10.72756
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T00:00:00.000Z,9.208874
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T00:30:00.000Z,9.702784
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T01:00:00.000Z,9.806521
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T01:30:00.000Z,9.762606
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T02:00:00.000Z,17.62301
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T02:30:00.000Z,81.85419
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T03:00:00.000Z,35.51896
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T03:30:00.000Z,36.57534
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T04:00:00.000Z,36.32872
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T04:30:00.000Z,35.23806
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T05:00:00.000Z,33.92817
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T05:30:00.000Z,33.98296
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T06:00:00.000Z,34.89966
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T06:30:00.000Z,34.73837
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T07:00:00.000Z,34.85099
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T07:30:00.000Z,34.45249
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T08:00:00.000Z,35.32366
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T08:30:00.000Z,33.892
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T09:00:00.000Z,32.96762
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T09:30:00.000Z,32.41269
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T10:00:00.000Z,31.42196
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T10:30:00.000Z,31.44623
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T11:00:00.000Z,31.46235
