query,group,time,value
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-16T18:30:00.000Z,N/A
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-16T19:00:00.000Z,6849.608
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-16T19:30:00.000Z,10212.26
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-16T20:00:00.000Z,7176.187
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-16T20:30:00.000Z,0
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-16T21:00:00.000Z,5698.38
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-16T21:30:00.000Z,7565.046
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-16T22:00:00.000Z,7468.454
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-16T22:30:00.000Z,5154.907
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-16T23:00:00.000Z,0
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-16T23:30:00.000Z,0
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T00:00:00.000Z,4609.676
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T00:30:00.000Z,4859.278
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T01:00:00.000Z,4891.185
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T01:30:00.000Z,4926.565
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T02:00:00.000Z,0
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T02:30:00.000Z,1456.311
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T03:00:00.000Z,3259.002
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T03:30:00.000Z,14370.27
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T04:00:00.000Z,18238.81
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T04:30:00.000Z,17841.81
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T05:00:00.000Z,17337.72
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T05:30:00.000Z,16782.02
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T06:00:00.000Z,17337.11
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T06:30:00.000Z,17384.15
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T07:00:00.000Z,17378.21
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T07:30:00.000Z,17264.18
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T08:00:00.000Z,17447.24
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T08:30:00.000Z,17421.13
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T09:00:00.000Z,16587.33
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T09:30:00.000Z,16384.57
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T10:00:00.000Z,15920.97
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T10:30:00.000Z,15725.61
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T11:00:00.000Z,15617.47
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T11:30:00.000Z,16046
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T12:00:00.000Z,16417.43
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T12:30:00.000Z,16250.89
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T13:00:00.000Z,16291.72
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T13:30:00.000Z,16438.36
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T14:00:00.000Z,16256.29
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T14:30:00.000Z,16197.88
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T15:00:00.000Z,16346.72
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T15:30:00.000Z,16104.72
