query,group,time,value
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T16:40:00.000Z,303.6814
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T16:50:00.000Z,249.2778
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T17:00:00.000Z,69.27825
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T17:10:00.000Z,65.71192
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T17:20:00.000Z,62.86146
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T17:30:00.000Z,62.71024
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T17:40:00.000Z,62.59322
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T17:50:00.000Z,62.61311
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T18:00:00.000Z,63.10655
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T18:10:00.000Z,64.19701
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T18:20:00.000Z,68.75474
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T18:30:00.000Z,69.49535
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T18:40:00.000Z,553.4421
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T18:50:00.000Z,40390.73
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T19:00:00.000Z,40457.88
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T19:10:00.000Z,42012.21
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T19:20:00.000Z,42227.05
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T19:30:00.000Z,41819.33
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T19:40:00.000Z,40941.53
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T19:50:00.000Z,40756.25
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T20:00:00.000Z,40716.92
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T20:10:00.000Z,15368.41
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T20:20:00.000Z,57.23313
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T20:30:00.000Z,242.505
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T20:40:00.000Z,15971.58
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T20:50:00.000Z,31726.84
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T21:00:00.000Z,49037.12
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T21:10:00.000Z,33944.78
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T21:20:00.000Z,60049.03
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T21:30:00.000Z,36810.06
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T21:40:00.000Z,57833.84
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T21:50:00.000Z,35657.78
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T22:00:00.000Z,44949.8
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T22:10:00.000Z,47132.36
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T22:20:00.000Z,41475.47
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T22:30:00.000Z,24484.52
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T22:40:00.000Z,36284.75
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T22:50:00.000Z,26050.94
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T23:00:00.000Z,32004.61
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T23:10:00.000Z,41310.88
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T23:20:00.000Z,21735.89
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T23:30:00.000Z,39643.78
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T23:40:00.000Z,45979.78
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-16T23:50:00.000Z,19267.52
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T00:00:00.000Z,19058.14
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T00:10:00.000Z,21599.72
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T00:20:00.000Z,19594.43
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T00:30:00.000Z,22895.46
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T00:40:00.000Z,21544.24
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T00:50:00.000Z,23159.36
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T01:00:00.000Z,47034.6
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T01:10:00.000Z,43718.37
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T01:20:00.000Z,31461.35
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T01:30:00.000Z,32216.94
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T01:40:00.000Z,40236.88
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T01:50:00.000Z,43625.08
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T02:00:00.000Z,48609.03
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T02:10:00.000Z,39934.03
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T02:20:00.000Z,42272.06
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T02:30:00.000Z,34159.01
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T02:40:00.000Z,19932.93
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T02:50:00.000Z,28723.75
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T03:00:00.000Z,76202.61
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T03:10:00.000Z,74224.68
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T03:20:00.000Z,102208.4
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T03:30:00.000Z,89132.95
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T03:40:00.000Z,92646.55
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T03:50:00.000Z,88786.18
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T04:00:00.000Z,86981.23
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T04:10:00.000Z,94669.29
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T04:20:00.000Z,93689.01
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T04:30:00.000Z,94511.6
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T04:40:00.000Z,95711
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T04:50:00.000Z,97846.34
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T05:00:00.000Z,97735.58
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T05:10:00.000Z,103069.2
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T05:20:00.000Z,99021.35
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T05:30:00.000Z,91862.49
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T05:40:00.000Z,88691.61
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T05:50:00.000Z,91962.84
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T06:00:00.000Z,91830.81
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T06:10:00.000Z,93569.11
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T06:20:00.000Z,92641.6
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T06:30:00.000Z,93270.05
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T06:40:00.000Z,95907
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T06:50:00.000Z,92307.39
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T07:00:00.000Z,88542.67
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T07:10:00.000Z,85651.76
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T07:20:00.000Z,88836
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T07:30:00.000Z,92875.35
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T07:40:00.000Z,85664.62
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T07:50:00.000Z,84557.08
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T08:00:00.000Z,81134.35
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T08:10:00.000Z,78968.98
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T08:20:00.000Z,78797.21
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T08:30:00.000Z,85755.27
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T08:40:00.000Z,92232.16
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T08:50:00.000Z,97030.8
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T09:00:00.000Z,94906.09
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T09:10:00.000Z,96065.41
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T09:20:00.000Z,92596
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T09:30:00.000Z,90800.33
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T09:40:00.000Z,94979.69
