query,group,time,value
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T17:30:00.000Z,32.30744
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T18:00:00.000Z,31.87139
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T18:30:00.000Z,32.85039
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T19:00:00.000Z,10.46942
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T19:30:00.000Z,1.838484e-7
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T20:00:00.000Z,1.720384e-20
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T20:30:00.000Z,15.33589
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T21:00:00.000Z,30.83606
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T21:30:00.000Z,46.90469
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T22:00:00.000Z,47.9359
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T22:30:00.000Z,46.72919
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T23:00:00.000Z,46.42997
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-17T23:30:00.000Z,43.40504
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-18T00:00:00.000Z,44.53052
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-18T00:30:00.000Z,47.2509
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-18T01:00:00.000Z,46.43241
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-18T01:30:00.000Z,47.80947
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-18T02:00:00.000Z,46.16061
