query,group,time,value
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T17:30:00.000Z,16018.07
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T18:00:00.000Z,16065.71
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T18:30:00.000Z,16141.09
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T19:00:00.000Z,11970.17
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T19:30:00.000Z,912.16
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T20:00:00.000Z,0
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T20:30:00.000Z,2164.153
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T21:00:00.000Z,13735.19
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T21:30:00.000Z,14983.59
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T22:00:00.000Z,21497.12
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T22:30:00.000Z,23503.93
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T23:00:00.000Z,23245.05
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-17T23:30:00.000Z,22596.22
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T00:00:00.000Z,21653.45
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T00:30:00.000Z,23079.22
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T01:00:00.000Z,23508.24
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T01:30:00.000Z,23694.81
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T02:00:00.000Z,23442.66
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T02:30:00.000Z,23464.01
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T03:00:00.000Z,23614.5
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T03:30:00.000Z,23545.5
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T04:00:00.000Z,23257.28
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T04:30:00.000Z,23226.49
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T05:00:00.000Z,23023.82
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T05:30:00.000Z,22148.57
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T06:00:00.000Z,22534.77
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T06:30:00.000Z,22848.69
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T07:00:00.000Z,23492.97
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T07:30:00.000Z,21203.31
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T08:00:00.000Z,21134.89
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T08:30:00.000Z,21082.87
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T09:00:00.000Z,21443.21
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T09:30:00.000Z,21328.25
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T10:00:00.000Z,20558.35
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T10:30:00.000Z,21016.8
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T11:00:00.000Z,21071.09
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T11:30:00.000Z,21415.14
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T12:00:00.000Z,20387.34
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T12:30:00.000Z,20234.46
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T13:00:00.000Z,20613.87
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T13:30:00.000Z,20497.08
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T14:00:00.000Z,20618.27
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T14:30:00.000Z,20300.71
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T15:00:00.000Z,19856.37
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T15:30:00.000Z,20441.52
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T16:00:00.000Z,20591.72
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T16:30:00.000Z,19892.18
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T17:00:00.000Z,19706.4
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T17:30:00.000Z,20707.58
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T18:00:00.000Z,20770.8
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T18:30:00.000Z,20301.19
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T19:00:00.000Z,19670.45
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T19:30:00.000Z,18982.29
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T20:00:00.000Z,19571.33
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T20:30:00.000Z,19302.06
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T21:00:00.000Z,19245.41
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T21:30:00.000Z,18329.85
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T22:00:00.000Z,16985.27
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T22:30:00.000Z,17617.12
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T23:00:00.000Z,17910.27
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-18T23:30:00.000Z,19117.15
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-19T00:00:00.000Z,18648.85
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-19T00:30:00.000Z,16457.83
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-19T01:00:00.000Z,13922.42
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-19T01:30:00.000Z,12821.05
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-19T02:00:00.000Z,4591.891
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-19T02:30:00.000Z,15.57333
