query,group,time,value
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T17:30:00.000Z,1.305807
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T17:40:00.000Z,1.325521
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T17:50:00.000Z,1.202336
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:00:00.000Z,1.253993
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:10:00.000Z,1.430628
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:20:00.000Z,1.124108
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:30:00.000Z,1.208384
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:40:00.000Z,0.9984928
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:50:00.000Z,0.9611686
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:00:00.000Z,0.8746826
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:10:00.000Z,0.958911
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:20:00.000Z,0.9195206
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:30:00.000Z,0.7774032
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:40:00.000Z,0.6916963
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:50:00.000Z,0.7041904
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T20:00:00.000Z,0.6394984
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T20:10:00.000Z,0.5829837
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T20:20:00.000Z,0.6209122
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T20:30:00.000Z,0.364817
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T20:40:00.000Z,1.316838
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T20:50:00.000Z,1.331411
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T21:00:00.000Z,1.708555
