query,group,time,value
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T17:30:00.000Z,49.50019
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T17:40:00.000Z,35.3314
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T17:50:00.000Z,22.65326
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:00:00.000Z,24.55709
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:10:00.000Z,40.57892
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:20:00.000Z,132.9318
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:30:00.000Z,12.02321
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:40:00.000Z,16.14098
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:50:00.000Z,10.12789
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:00:00.000Z,27.68959
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:10:00.000Z,7.159842
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:20:00.000Z,8.641255
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:30:00.000Z,8.278662
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:40:00.000Z,16.07784
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:50:00.000Z,11.76595
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T20:00:00.000Z,15.90756
