query,group,time,value
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T17:30:00.000Z,16205.36
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T17:40:00.000Z,16052.61
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T17:50:00.000Z,16247.15
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:00:00.000Z,15842.55
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:10:00.000Z,16099.49
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:20:00.000Z,15879.27
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:30:00.000Z,16245.1
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:40:00.000Z,16470.6
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T18:50:00.000Z,16482.51
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:00:00.000Z,11570.37
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:10:00.000Z,3778.318
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:20:00.000Z,0
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:30:00.000Z,0
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:40:00.000Z,0
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T19:50:00.000Z,0
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T20:00:00.000Z,0
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T20:10:00.000Z,0
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T20:20:00.000Z,0.2849977
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T20:30:00.000Z,2.493324
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T20:40:00.000Z,7890.591
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T20:50:00.000Z,15491.52
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T21:00:00.000Z,15415.77
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T21:10:00.000Z,15455.38
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T21:20:00.000Z,15378.58
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T21:30:00.000Z,17981.63
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T21:40:00.000Z,17282.51
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T21:50:00.000Z,24429.42
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T22:00:00.000Z,24612.41
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T22:10:00.000Z,23654.34
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T22:20:00.000Z,23610.75
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T22:30:00.000Z,23460.44
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T22:40:00.000Z,23236.69
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T22:50:00.000Z,23384.94
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T23:00:00.000Z,23075.65
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T23:10:00.000Z,23188.79
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T23:20:00.000Z,23467.85
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T23:30:00.000Z,22358.03
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T23:40:00.000Z,21441.89
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-17T23:50:00.000Z,20998.91
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T00:00:00.000Z,22110.03
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T00:10:00.000Z,21865.07
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T00:20:00.000Z,23160.8
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T00:30:00.000Z,23061.42
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T00:40:00.000Z,23899.94
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T00:50:00.000Z,23854.39
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T01:00:00.000Z,23225.24
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T01:10:00.000Z,23507.56
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T01:20:00.000Z,22736.15
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T01:30:00.000Z,24441.12
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T01:40:00.000Z,24232.36
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T01:50:00.000Z,23372.8
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T02:00:00.000Z,23043.97
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T02:10:00.000Z,23346.78
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T02:20:00.000Z,23221.74
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T02:30:00.000Z,24111.14
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T02:40:00.000Z,23020.53
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T02:50:00.000Z,23735.27
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T03:00:00.000Z,23961.43
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T03:10:00.000Z,23381.41
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T03:20:00.000Z,23599.28
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T03:30:00.000Z,23443.28
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T03:40:00.000Z,23442.7
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T03:50:00.000Z,23558.44
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T04:00:00.000Z,22645.92
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T04:10:00.000Z,23476.18
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T04:20:00.000Z,23637.94
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T04:30:00.000Z,23206.78
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T04:40:00.000Z,22779.65
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T04:50:00.000Z,23606.03
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T05:00:00.000Z,22659.15
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T05:10:00.000Z,22719.83
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T05:20:00.000Z,22998.39
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T05:30:00.000Z,20539.06
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T05:40:00.000Z,22769.28
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T05:50:00.000Z,22936.29
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T06:00:00.000Z,22188.65
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T06:10:00.000Z,22687.34
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T06:20:00.000Z,22673.43
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T06:30:00.000Z,22313.82
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T06:40:00.000Z,24158.4
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T06:50:00.000Z,23187.81
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T07:00:00.000Z,24040.94
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T07:10:00.000Z,23396.96
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T07:20:00.000Z,20685.17
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T07:30:00.000Z,20324.79
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T07:40:00.000Z,20897.76
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T07:50:00.000Z,21712.24
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T08:00:00.000Z,20824.16
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T08:10:00.000Z,20947.99
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T08:20:00.000Z,21474.65
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T08:30:00.000Z,20658.93
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T08:40:00.000Z,21408.65
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T08:50:00.000Z,21497.62
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T09:00:00.000Z,21423.16
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T09:10:00.000Z,21575.44
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T09:20:00.000Z,21523.97
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T09:30:00.000Z,21392.27
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T09:40:00.000Z,21090.04
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T09:50:00.000Z,20358.71
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T10:00:00.000Z,20626.4
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T10:10:00.000Z,19754.91
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T10:20:00.000Z,21575.9
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T10:30:00.000Z,21438.1
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T10:40:00.000Z,20775.82
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T10:50:00.000Z,20782.6
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T11:00:00.000Z,20846.22
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T11:10:00.000Z,21644.13
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T11:20:00.000Z,21957.75
"mongodb.atlas.metrics.document.inserted",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-18T11:30:00.000Z,21564.46
