query,group,time,value
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T11:00:00.000Z,418622000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T11:30:00.000Z,444394700
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T12:00:00.000Z,470279100
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T12:30:00.000Z,495649500
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T13:00:00.000Z,509282300
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T13:30:00.000Z,12886170
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T14:00:00.000Z,38536280
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T14:30:00.000Z,64404630
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T15:00:00.000Z,89330780
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T15:30:00.000Z,113525800
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T16:00:00.000Z,138047000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T16:30:00.000Z,163049600
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T17:00:00.000Z,187989800
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T17:30:00.000Z,213135400
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T18:00:00.000Z,238524200
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T18:30:00.000Z,263738700
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T19:00:00.000Z,288656600
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T19:30:00.000Z,313856300
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T20:00:00.000Z,339015600
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T20:30:00.000Z,364232500
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T21:00:00.000Z,388720300
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T21:30:00.000Z,412976100
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T22:00:00.000Z,437648600
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T22:30:00.000Z,462825700
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T23:00:00.000Z,488171300
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-21T23:30:00.000Z,513621800
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T00:00:00.000Z,539380200
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T00:30:00.000Z,564577600
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T01:00:00.000Z,590172100
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T01:30:00.000Z,615757000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T02:00:00.000Z,641274600
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T02:30:00.000Z,666715500
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T03:00:00.000Z,692053500
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T03:30:00.000Z,717380300
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T04:00:00.000Z,742689300
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T04:30:00.000Z,767770600
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T05:00:00.000Z,792608000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T05:30:00.000Z,816719200
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T06:00:00.000Z,840209900
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T06:30:00.000Z,864204500
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T07:00:00.000Z,888514300
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T07:30:00.000Z,913387300
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T08:00:00.000Z,938415900
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T08:30:00.000Z,963371500
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T09:00:00.000Z,988528900
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T09:30:00.000Z,1013369000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T10:00:00.000Z,1037484000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T10:30:00.000Z,1060694000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T11:00:00.000Z,1083788000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T11:30:00.000Z,1107106000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T12:00:00.000Z,1130725000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T12:30:00.000Z,1154786000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T13:00:00.000Z,1178562000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T13:30:00.000Z,1201764000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T14:00:00.000Z,1213926000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T14:30:00.000Z,1215512000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-22T15:00:00.000Z,1215557000
