query,group,time,value
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T11:00:00.000Z,14147.82
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T11:30:00.000Z,14318.15
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T12:00:00.000Z,14380.2
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T12:30:00.000Z,14094.7
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T13:00:00.000Z,7573.741
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T13:30:00.000Z,0
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T14:00:00.000Z,14250.06
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T14:30:00.000Z,14371.31
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T15:00:00.000Z,13847.86
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T15:30:00.000Z,13441.66
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T16:00:00.000Z,13622.91
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T16:30:00.000Z,13890.35
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T17:00:00.000Z,13855.67
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T17:30:00.000Z,13969.78
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T18:00:00.000Z,14104.85
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T18:30:00.000Z,14008.06
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T19:00:00.000Z,13843.27
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T19:30:00.000Z,13999.86
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T20:00:00.000Z,13977.38
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T20:30:00.000Z,14009.39
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T21:00:00.000Z,13604.33
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T21:30:00.000Z,13475.45
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T22:00:00.000Z,13706.95
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T22:30:00.000Z,13987.27
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T23:00:00.000Z,14080.92
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-21T23:30:00.000Z,14139.17
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T00:00:00.000Z,14310.19
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T00:30:00.000Z,13998.58
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T01:00:00.000Z,14219.18
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T01:30:00.000Z,14213.81
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T02:00:00.000Z,14176.42
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T02:30:00.000Z,14133.88
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T03:00:00.000Z,14076.63
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T03:30:00.000Z,14070.49
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T04:00:00.000Z,14060.53
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T04:30:00.000Z,13934.03
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T05:00:00.000Z,13798.6
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T05:30:00.000Z,13395.09
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T06:00:00.000Z,13050.38
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T06:30:00.000Z,13330.35
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T07:00:00.000Z,13505.45
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T07:30:00.000Z,13818.34
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T08:00:00.000Z,13904.77
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T08:30:00.000Z,13864.23
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T09:00:00.000Z,13976.29
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-22T09:30:00.000Z,13800.29
