query,group,time,value
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T09:40:00.000Z,98
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T09:50:00.000Z,75
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T10:00:00.000Z,68.3
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T10:10:00.000Z,70.66667
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T10:20:00.000Z,68.8
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T10:30:00.000Z,75.6
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T10:40:00.000Z,71.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T10:50:00.000Z,64.5
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T11:00:00.000Z,67.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T11:10:00.000Z,66.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T11:20:00.000Z,63
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T11:30:00.000Z,66.7
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T11:40:00.000Z,64.3
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T11:50:00.000Z,69.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T12:00:00.000Z,67.22222
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T12:10:00.000Z,68.3
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T12:20:00.000Z,67.7
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T12:30:00.000Z,77.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T12:40:00.000Z,90.4
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T12:50:00.000Z,66.88889
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T13:00:00.000Z,66.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T13:10:00.000Z,76.1
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T13:20:00.000Z,67.66667
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T13:30:00.000Z,65.6
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T13:40:00.000Z,87.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T13:50:00.000Z,37
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T14:00:00.000Z,29.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T14:10:00.000Z,19.325
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T14:20:00.000Z,0.9
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T14:30:00.000Z,0
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T14:40:00.000Z,0
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T14:50:00.000Z,0
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T15:00:00.000Z,0
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T15:10:00.000Z,0
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T15:20:00.000Z,50.325
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T15:30:00.000Z,71.9
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T15:40:00.000Z,76
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T15:50:00.000Z,68.9
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T16:00:00.000Z,72.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T16:10:00.000Z,68.5
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T16:20:00.000Z,75.9
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T16:30:00.000Z,71
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T16:40:00.000Z,66.4
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T16:50:00.000Z,70.3
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T17:00:00.000Z,58.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T17:10:00.000Z,72.9
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T17:20:00.000Z,672
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T17:30:00.000Z,12384.8
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T17:40:00.000Z,28751.1
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T17:50:00.000Z,44690.8
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T18:00:00.000Z,55851.37
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T18:10:00.000Z,45804.5
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T18:20:00.000Z,29228.5
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T18:30:00.000Z,16063.7
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T18:40:00.000Z,5732.4
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T18:50:00.000Z,372.6
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T19:00:00.000Z,67.9
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T19:10:00.000Z,68.4
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T19:20:00.000Z,71.05
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T19:30:00.000Z,71.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T19:40:00.000Z,88.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T19:50:00.000Z,65.6
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T20:00:00.000Z,70.3
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T20:10:00.000Z,66.6
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T20:20:00.000Z,68.3
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T20:30:00.000Z,73.8
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T20:40:00.000Z,76.8
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T20:50:00.000Z,70.1
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T21:00:00.000Z,68.9
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T21:10:00.000Z,77.85
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T21:20:00.000Z,74.325
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T21:30:00.000Z,70.9
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T21:40:00.000Z,75.7
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T21:50:00.000Z,66
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T22:00:00.000Z,57.3
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T22:10:00.000Z,73.875
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T22:20:00.000Z,70.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T22:30:00.000Z,76.3
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T22:40:00.000Z,92.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T22:50:00.000Z,66.4
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T23:00:00.000Z,74.8
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T23:10:00.000Z,68
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T23:20:00.000Z,73.1
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T23:30:00.000Z,71.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T23:40:00.000Z,87.5
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-22T23:50:00.000Z,67.275
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-23T00:00:00.000Z,71
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-23T00:10:00.000Z,73.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-23T00:20:00.000Z,72.2
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-23T00:30:00.000Z,73.6
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-23T00:40:00.000Z,97
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-23T00:50:00.000Z,71
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-23T01:00:00.000Z,67.3
"nuxeo.streams.global.stream.group.lag",staging:bench-11,2020-09-23T01:10:00.000Z,65.5
