query,group,time,value
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T12:30:00.000Z,6.046482
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T12:40:00.000Z,6.191963
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T12:50:00.000Z,6.243192
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T13:00:00.000Z,6.160478
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T13:10:00.000Z,5.999761
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T13:20:00.000Z,6.168968
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T13:30:00.000Z,6.191256
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T13:40:00.000Z,6.014713
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T13:50:00.000Z,6.368901
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T14:00:00.000Z,6.578368
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T14:10:00.000Z,6.5971
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T14:20:00.000Z,4.720088
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T14:30:00.000Z,4.593999
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T14:40:00.000Z,3.983808
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T14:50:00.000Z,3.000777
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T15:00:00.000Z,3.338274
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T15:10:00.000Z,3.101202
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T15:20:00.000Z,3.326828
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T15:30:00.000Z,3.215165
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T15:40:00.000Z,2.879531
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T15:50:00.000Z,3.115277
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T16:00:00.000Z,2.774883
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T16:10:00.000Z,2.91068
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T16:20:00.000Z,2.897913
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T16:30:00.000Z,2.97048
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T16:40:00.000Z,2.775472
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T16:50:00.000Z,4.064101
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T17:00:00.000Z,4.456515
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T17:10:00.000Z,4.191781
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T17:20:00.000Z,4.396906
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T17:30:00.000Z,5.608685
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T17:40:00.000Z,6.969772
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T17:50:00.000Z,6.301019
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T18:00:00.000Z,6.368489
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T18:10:00.000Z,6.580866
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;shardedclustername:atlas-2c7kck,2020-09-24T18:20:00.000Z,6.46185
