query,group,time,value
"aws.es.indexing_rate",staging:bench-11,2020-09-24T12:30:00.000Z,447938000
"aws.es.indexing_rate",staging:bench-11,2020-09-24T12:40:00.000Z,449554800
"aws.es.indexing_rate",staging:bench-11,2020-09-24T12:50:00.000Z,445505300
"aws.es.indexing_rate",staging:bench-11,2020-09-24T13:00:00.000Z,437924400
"aws.es.indexing_rate",staging:bench-11,2020-09-24T13:10:00.000Z,440524200
"aws.es.indexing_rate",staging:bench-11,2020-09-24T13:20:00.000Z,443238400
"aws.es.indexing_rate",staging:bench-11,2020-09-24T13:30:00.000Z,442064200
"aws.es.indexing_rate",staging:bench-11,2020-09-24T13:40:00.000Z,449593700
"aws.es.indexing_rate",staging:bench-11,2020-09-24T13:50:00.000Z,458600000
"aws.es.indexing_rate",staging:bench-11,2020-09-24T14:00:00.000Z,453331000
"aws.es.indexing_rate",staging:bench-11,2020-09-24T14:10:00.000Z,466293800
"aws.es.indexing_rate",staging:bench-11,2020-09-24T14:20:00.000Z,245802400
"aws.es.indexing_rate",staging:bench-11,2020-09-24T14:30:00.000Z,191742500
"aws.es.indexing_rate",staging:bench-11,2020-09-24T14:40:00.000Z,159839600
"aws.es.indexing_rate",staging:bench-11,2020-09-24T14:50:00.000Z,5098380
"aws.es.indexing_rate",staging:bench-11,2020-09-24T15:00:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-24T15:10:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-24T15:20:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-24T15:30:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-24T15:40:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-24T15:50:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-24T16:00:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-24T16:10:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-24T16:20:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-24T16:30:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-24T16:40:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-24T16:50:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-24T17:00:00.000Z,7680
"aws.es.indexing_rate",staging:bench-11,2020-09-24T17:10:00.000Z,82800
"aws.es.indexing_rate",staging:bench-11,2020-09-24T17:20:00.000Z,96720
"aws.es.indexing_rate",staging:bench-11,2020-09-24T17:30:00.000Z,190804100
