query,group,time,value
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-15T23:20:00.000Z,99.6939
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-15T23:25:00.000Z,99.64385
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-15T23:30:00.000Z,99.70211
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-15T23:35:00.000Z,99.6897
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-15T23:40:00.000Z,99.69135
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-15T23:45:00.000Z,99.65248
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-15T23:50:00.000Z,99.70968
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-15T23:55:00.000Z,99.69546
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T00:00:00.000Z,99.45269
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T00:05:00.000Z,99.67077
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T00:10:00.000Z,99.64499
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T00:15:00.000Z,99.69306
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T00:20:00.000Z,99.67975
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T00:25:00.000Z,99.69562
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T00:30:00.000Z,99.68384
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T00:35:00.000Z,99.68896
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T00:40:00.000Z,99.68552
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T00:45:00.000Z,99.70464
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T00:50:00.000Z,99.70133
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T00:55:00.000Z,99.70554
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T01:00:00.000Z,99.45454
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T01:05:00.000Z,99.69466
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T01:10:00.000Z,99.57523
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T01:15:00.000Z,99.66226
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T01:20:00.000Z,74.38458
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T01:25:00.000Z,57.09864
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T01:30:00.000Z,58.62217
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T01:35:00.000Z,59.55062
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T01:40:00.000Z,60.47399
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T01:45:00.000Z,60.09432
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T01:50:00.000Z,59.79287
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T01:55:00.000Z,58.6113
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T02:00:00.000Z,59.8129
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T02:05:00.000Z,59.78341
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T02:10:00.000Z,59.60248
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T02:15:00.000Z,59.8381
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T02:20:00.000Z,61.63019
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T02:25:00.000Z,62.44526
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T02:30:00.000Z,62.12201
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T02:35:00.000Z,61.15287
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T02:40:00.000Z,60.20446
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T02:45:00.000Z,60.25409
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T02:50:00.000Z,60.12637
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T02:55:00.000Z,60.70414
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T03:00:00.000Z,63.40584
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T03:05:00.000Z,67.9141
"system.cpu.idle",hostname:nxbench-bench-11-worker-2826-10-3-10-71-use;staging:bench-11,2020-09-16T03:10:00.000Z,68.9009
