query,group,time,value
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T23:20:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T23:25:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T23:30:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T23:35:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T23:40:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T23:45:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T23:50:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T23:55:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T00:00:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T00:05:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T00:10:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T00:15:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T00:20:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T00:25:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T00:30:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T00:35:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T00:40:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T00:45:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T00:50:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T00:55:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T01:00:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T01:05:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T01:10:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T01:15:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T01:20:00.000Z,273.1947
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T01:25:00.000Z,956.2453
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T01:30:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T01:35:00.000Z,1943.936
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T01:40:00.000Z,15966.98
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T01:45:00.000Z,44561.54
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T01:50:00.000Z,1255.552
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T01:55:00.000Z,213.504
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T02:00:00.000Z,7830.4
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T02:05:00.000Z,31704.19
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T02:10:00.000Z,19700.86
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T02:15:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T02:20:00.000Z,4765.483
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T02:25:00.000Z,24483.75
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T02:30:00.000Z,29723.99
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T02:35:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T02:40:00.000Z,2068.864
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T02:45:00.000Z,40211.11
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T02:50:00.000Z,8110.635
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T02:55:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T03:00:00.000Z,6201.941
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T03:05:00.000Z,20343.51
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T03:10:00.000Z,30914.39
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T03:15:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T03:20:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T03:25:00.000Z,2339.84
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T03:30:00.000Z,15755.18
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T03:35:00.000Z,30256.77
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T03:40:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T03:45:00.000Z,15967.19
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T03:50:00.000Z,4416.384
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-16T03:55:00.000Z,0
