query,group,time,value
"aws.es.indexing_rate",staging:bench-11,2020-09-15T23:20:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-15T23:25:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-15T23:30:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-15T23:35:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-15T23:40:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-15T23:45:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-15T23:50:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-15T23:55:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T00:00:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T00:05:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T00:10:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T00:15:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T00:20:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T00:25:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T00:30:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T00:35:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T00:40:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T00:45:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T00:50:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T00:55:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T01:00:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T01:05:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T01:10:00.000Z,8040
"aws.es.indexing_rate",staging:bench-11,2020-09-16T01:15:00.000Z,0
"aws.es.indexing_rate",staging:bench-11,2020-09-16T01:20:00.000Z,43565520
"aws.es.indexing_rate",staging:bench-11,2020-09-16T01:25:00.000Z,263674100
"aws.es.indexing_rate",staging:bench-11,2020-09-16T01:30:00.000Z,260230600
"aws.es.indexing_rate",staging:bench-11,2020-09-16T01:35:00.000Z,253276700
