query,group,time,value
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:20:00.000Z,11.71069
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:25:00.000Z,0.3800791
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:30:00.000Z,0.4470775
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:35:00.000Z,0.3454293
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:40:00.000Z,0.03916822
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:45:00.000Z,0.04292462
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:50:00.000Z,0.03958176
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:55:00.000Z,0.03166206
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:00:00.000Z,0.08251582
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:05:00.000Z,0.03666622
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:10:00.000Z,0.07750205
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:15:00.000Z,0.04749622
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:20:00.000Z,0.03791673
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:25:00.000Z,0.03083412
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:30:00.000Z,0.126672
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:35:00.000Z,0.7431231
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:40:00.000Z,0.4324274
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:45:00.000Z,0.07205623
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:50:00.000Z,0.03583566
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:55:00.000Z,0.03082922
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:00:00.000Z,0.04499934
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:05:00.000Z,0.03666607
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:10:00.000Z,0.04166959
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:15:00.000Z,0.04167074
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:20:00.000Z,1.035889
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:25:00.000Z,4.544769
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:30:00.000Z,3.924992
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:35:00.000Z,3.774678
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:40:00.000Z,5.125878
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:45:00.000Z,6.41448
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:50:00.000Z,6.03695
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:55:00.000Z,5.720624
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:00:00.000Z,6.607965
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:05:00.000Z,7.409384
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:10:00.000Z,7.37252
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:15:00.000Z,7.208528
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:20:00.000Z,7.867947
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:25:00.000Z,7.864733
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:30:00.000Z,7.828016
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:35:00.000Z,7.845994
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:40:00.000Z,7.676501
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:45:00.000Z,9.639556
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:50:00.000Z,9.000749
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:55:00.000Z,9.387072
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:00:00.000Z,14.57758
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:05:00.000Z,17.54766
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:10:00.000Z,17.68097
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:15:00.000Z,19.50944
