query,group,time,value
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:20:00.000Z,2096333
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:25:00.000Z,112126.1
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:30:00.000Z,613.9976
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:35:00.000Z,490.9818
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:40:00.000Z,486
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:45:00.000Z,577.9966
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:50:00.000Z,501.9975
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:55:00.000Z,524.9983
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:00:00.000Z,605.9989
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:05:00.000Z,481.9797
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:10:00.000Z,490.998
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:15:00.000Z,587.9973
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:20:00.000Z,494.9975
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:25:00.000Z,483.9983
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:30:00.000Z,24272.6
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:35:00.000Z,225006.9
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:40:00.000Z,206074.4
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:45:00.000Z,8524.999
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:50:00.000Z,500
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:55:00.000Z,465.9983
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:00:00.000Z,347.999
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:05:00.000Z,346.0029
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:10:00.000Z,2369.999
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:15:00.000Z,554.998
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:20:00.000Z,3516226
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:25:00.000Z,35468630
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:30:00.000Z,34002620
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:35:00.000Z,32316220
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:40:00.000Z,8382460
