query,group,time,value
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:20:00.000Z,0.4406232
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:25:00.000Z,0.2166564
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:30:00.000Z,0.1664212
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:35:00.000Z,0.1682281
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:40:00.000Z,0.162685
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:45:00.000Z,0.1660564
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:50:00.000Z,0.1670955
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-15T23:55:00.000Z,0.160709
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:00:00.000Z,0.1619555
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:05:00.000Z,0.1595031
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:10:00.000Z,0.1604934
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:15:00.000Z,0.1620147
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:20:00.000Z,0.1637671
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:25:00.000Z,0.1581234
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:30:00.000Z,0.1796936
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:35:00.000Z,0.2469724
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:40:00.000Z,0.2120532
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:45:00.000Z,0.1687807
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:50:00.000Z,0.1616939
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T00:55:00.000Z,0.1565311
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:00:00.000Z,0.1609793
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:05:00.000Z,0.1618038
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:10:00.000Z,0.184806
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:15:00.000Z,0.1621381
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:20:00.000Z,0.2571526
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:25:00.000Z,0.3663519
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:30:00.000Z,0.377409
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:35:00.000Z,0.4216003
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:40:00.000Z,0.5113711
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:45:00.000Z,0.4921556
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:50:00.000Z,0.4974667
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T01:55:00.000Z,0.4994925
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:00:00.000Z,0.5256788
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:05:00.000Z,0.5361806
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:10:00.000Z,0.5510216
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:15:00.000Z,0.5417107
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:20:00.000Z,0.558168
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:25:00.000Z,0.5571969
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:30:00.000Z,0.5446781
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:35:00.000Z,0.5468579
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:40:00.000Z,0.5355228
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:45:00.000Z,0.5722462
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:50:00.000Z,0.5908622
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T02:55:00.000Z,0.5780859
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:00:00.000Z,0.616641
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:05:00.000Z,0.5644734
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:10:00.000Z,0.5112723
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:15:00.000Z,0.5327597
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:20:00.000Z,0.5287576
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:25:00.000Z,0.5172768
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:30:00.000Z,0.477723
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:35:00.000Z,0.5069953
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:40:00.000Z,0.5320914
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:45:00.000Z,0.5407783
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:50:00.000Z,0.5320464
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T03:55:00.000Z,0.5534777
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T04:00:00.000Z,0.5444722
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T04:05:00.000Z,0.5559677
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T04:10:00.000Z,0.5606078
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T04:15:00.000Z,0.5538621
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T04:20:00.000Z,0.5909283
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T04:25:00.000Z,0.5442422
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T04:30:00.000Z,0.5544166
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T04:35:00.000Z,0.4518087
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T04:40:00.000Z,0.4155138
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T04:45:00.000Z,0.4081042
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T04:50:00.000Z,0.4030481
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T04:55:00.000Z,0.4050631
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T05:00:00.000Z,0.3875936
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T05:05:00.000Z,0.3743779
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T05:10:00.000Z,0.3696249
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T05:15:00.000Z,0.4131932
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T05:20:00.000Z,0.3848707
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T05:25:00.000Z,0.4159065
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T05:30:00.000Z,0.4418831
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T05:35:00.000Z,0.397467
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T05:40:00.000Z,0.4424001
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T05:45:00.000Z,0.4350503
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T05:50:00.000Z,0.4451446
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T05:55:00.000Z,0.4755384
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T06:00:00.000Z,0.4543652
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T06:05:00.000Z,0.3987312
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T06:10:00.000Z,0.3890382
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T06:15:00.000Z,0.344876
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T06:20:00.000Z,0.3318906
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T06:25:00.000Z,0.2787394
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T06:30:00.000Z,0.2847809
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T06:35:00.000Z,0.2919634
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T06:40:00.000Z,0.2737384
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T06:45:00.000Z,0.2690279
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-lwol2l-shard-0,2020-09-16T06:50:00.000Z,0.2404548
