query,group,time,value
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-12T13:00:00.000Z,661150900
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-12T14:00:00.000Z,668458900
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-12T15:00:00.000Z,675745000
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-12T16:00:00.000Z,511795900
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-12T17:00:00.000Z,4205528
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-12T18:00:00.000Z,44822910
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-12T19:00:00.000Z,83063700
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-12T20:00:00.000Z,89492990
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-12T21:00:00.000Z,105701800
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-12T22:00:00.000Z,125498400
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-12T23:00:00.000Z,141603900
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-13T00:00:00.000Z,155192800
"nuxeo.importer.stream.consumer.committed",hostname:nxbench-bench-11-worker-2826-10-3-10-10-use;staging:bench-11,2020-09-13T01:00:00.000Z,167135700
