query,group,time,value
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-12T13:00:00.000Z,4.0592
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-12T14:00:00.000Z,4.060385
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-12T15:00:00.000Z,4.047725
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-12T16:00:00.000Z,4.358514
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-12T17:00:00.000Z,11.59396
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-12T18:00:00.000Z,30.5254
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-12T19:00:00.000Z,11.37665
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-12T20:00:00.000Z,2.431811
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-12T21:00:00.000Z,12.53428
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-12T22:00:00.000Z,9.877583
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-12T23:00:00.000Z,8.244143
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T00:00:00.000Z,7.003578
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T01:00:00.000Z,6.36248
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T02:00:00.000Z,5.916845
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T03:00:00.000Z,5.600799
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T04:00:00.000Z,5.414934
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T05:00:00.000Z,5.277081
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T06:00:00.000Z,5.13756
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T07:00:00.000Z,5.101201
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T08:00:00.000Z,4.918844
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T09:00:00.000Z,4.870306
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T10:00:00.000Z,4.813419
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T11:00:00.000Z,4.757286
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T12:00:00.000Z,0.7732545
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T13:00:00.000Z,11.82351
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T14:00:00.000Z,11.64166
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T15:00:00.000Z,11.35263
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T16:00:00.000Z,11.01521
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T17:00:00.000Z,10.81478
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T18:00:00.000Z,10.51956
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T19:00:00.000Z,10.24912
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T20:00:00.000Z,10.14688
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T21:00:00.000Z,9.964988
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T22:00:00.000Z,9.927911
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-13T23:00:00.000Z,9.722983
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T00:00:00.000Z,9.714046
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T01:00:00.000Z,9.529474
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T02:00:00.000Z,9.528593
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T03:00:00.000Z,9.514354
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T04:00:00.000Z,9.410039
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T05:00:00.000Z,9.338656
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T06:00:00.000Z,9.248289
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T07:00:00.000Z,9.156528
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T08:00:00.000Z,9.071793
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T09:00:00.000Z,9.02086
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T10:00:00.000Z,9.006165
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T11:00:00.000Z,8.897559
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T12:00:00.000Z,8.823818
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T13:00:00.000Z,8.743833
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T14:00:00.000Z,8.782848
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T15:00:00.000Z,8.732933
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T16:00:00.000Z,8.665836
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T17:00:00.000Z,8.647738
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T18:00:00.000Z,8.518433
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T19:00:00.000Z,7.174661
"nuxeo.importer.stream.consumer.batchCommit.1MinuteRate",staging:bench-11,2020-09-14T20:00:00.000Z,1.624799
