query,group,time,value
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-12T13:00:00.000Z,2034.947
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-12T14:00:00.000Z,2030.002
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-12T15:00:00.000Z,2023.926
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-12T16:00:00.000Z,0
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-12T17:00:00.000Z,0
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-12T18:00:00.000Z,11282.61
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-12T19:00:00.000Z,10622.44
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-12T20:00:00.000Z,1785.914
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-12T21:00:00.000Z,4502.445
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-12T22:00:00.000Z,5499.062
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-12T23:00:00.000Z,4473.731
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-13T00:00:00.000Z,3774.701
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-13T01:00:00.000Z,3317.488
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-13T02:00:00.000Z,3053.431
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-13T03:00:00.000Z,2879.697
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-13T04:00:00.000Z,2746.365
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-13T05:00:00.000Z,2667.424
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-13T06:00:00.000Z,2606.141
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-13T07:00:00.000Z,2563.056
"per_second(nuxeo.importer.stream.consumer.committed)",staging:bench-11,2020-09-13T08:00:00.000Z,2505.147
