query,group,time,value
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-12T13:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-12T14:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-12T15:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-12T16:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-12T17:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-12T18:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-12T19:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-12T20:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-12T21:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-12T22:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-12T23:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T00:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T01:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T02:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T03:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T04:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T05:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T06:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T07:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T08:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T09:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T10:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T11:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T12:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T13:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T14:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T15:00:00.000Z,56
"nuxeo.repositories.repository.documents.create",hostname:nxbench-bench-11-worker-2826-10-3-8-95-use;staging:bench-11,2020-09-13T16:00:00.000Z,56
