query,group,time,value
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T12:20:00.000Z,3.181899
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T12:40:00.000Z,3.515366
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T13:00:00.000Z,3.101188
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T13:20:00.000Z,3.517139
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T13:40:00.000Z,3.374307
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T14:00:00.000Z,3.527103
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T14:20:00.000Z,3.512041
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T14:40:00.000Z,3.019085
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T15:00:00.000Z,2.997428
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T15:20:00.000Z,3.009533
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T15:40:00.000Z,3.001057
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T16:00:00.000Z,3.254602
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T16:20:00.000Z,3.478955
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T16:40:00.000Z,2.938455
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T17:00:00.000Z,8.533536
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T17:20:00.000Z,8.70129
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T17:40:00.000Z,0.7509662
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T18:00:00.000Z,1.232818
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T18:20:00.000Z,1.102805
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T18:40:00.000Z,0.6961477
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T19:00:00.000Z,0.7039225
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T19:20:00.000Z,0.6589269
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T19:40:00.000Z,0.01197206
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T20:00:00.000Z,0.01218787
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T20:20:00.000Z,0.01249911
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T20:40:00.000Z,0.585932
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T21:00:00.000Z,1.129452
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T21:20:00.000Z,1.167106
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T21:40:00.000Z,1.098822
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T22:00:00.000Z,0.988732
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11,2020-09-12T22:20:00.000Z,0.9779517
