query,group,time,value
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T12:20:00.000Z,88.79081
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T12:40:00.000Z,85.04899
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T13:00:00.000Z,86.30556
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T13:20:00.000Z,86.23793
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T13:40:00.000Z,86.52855
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T14:00:00.000Z,86.1637
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T14:20:00.000Z,86.61131
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T14:40:00.000Z,86.77567
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T15:00:00.000Z,86.26767
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T15:20:00.000Z,86.75984
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T15:40:00.000Z,86.70742
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T16:00:00.000Z,87.04391
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T16:20:00.000Z,86.75939
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T16:40:00.000Z,96.03494
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T17:00:00.000Z,89.2923
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T17:20:00.000Z,36.82739
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T17:40:00.000Z,28.96413
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T18:00:00.000Z,55.86874
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T18:20:00.000Z,87.90038
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T18:40:00.000Z,209.3109
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T19:00:00.000Z,281.4739
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T19:20:00.000Z,303.9536
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T19:40:00.000Z,2.755265
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T20:00:00.000Z,2.757085
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T20:20:00.000Z,2.773008
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T20:40:00.000Z,67.74163
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T21:00:00.000Z,202.5441
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T21:20:00.000Z,267.8461
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T21:40:00.000Z,307.4478
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T22:00:00.000Z,342.4966
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T22:20:00.000Z,398.3532
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T22:40:00.000Z,435.9653
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T23:00:00.000Z,470.9149
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T23:20:00.000Z,519.0608
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-12T23:40:00.000Z,558.6679
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-13T00:00:00.000Z,624.308
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-13T00:20:00.000Z,665.3758
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-13T00:40:00.000Z,687.9039
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-13T01:00:00.000Z,727.5
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-13T01:20:00.000Z,750.0354
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-13T01:40:00.000Z,774.4663
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-13T02:00:00.000Z,814.1088
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-13T02:20:00.000Z,810.9299
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-13T02:40:00.000Z,841.1025
"mongodb.atlas.oplatencies.writes.avg",projectname:nxbench-bench11,2020-09-13T03:00:00.000Z,858.085
