query,group,time,value
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T12:20:00.000Z,10470790
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T12:40:00.000Z,10578410
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T13:00:00.000Z,10478990
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T13:20:00.000Z,10523550
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T13:40:00.000Z,10501370
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T14:00:00.000Z,10466680
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T14:20:00.000Z,10495740
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T14:40:00.000Z,10457090
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T15:00:00.000Z,10438250
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T15:20:00.000Z,10444910
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T15:40:00.000Z,10484500
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T16:00:00.000Z,10425450
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T16:20:00.000Z,10435730
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T16:40:00.000Z,9650036
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T17:00:00.000Z,10470550
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T17:20:00.000Z,3848942
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T17:40:00.000Z,29443210
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T18:00:00.000Z,43004520
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T18:20:00.000Z,41258360
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T18:40:00.000Z,27653980
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T19:00:00.000Z,22596840
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T19:20:00.000Z,18531540
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T19:40:00.000Z,4972.987
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T20:00:00.000Z,5175.988
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T20:20:00.000Z,4995.987
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T20:40:00.000Z,11698670
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T21:00:00.000Z,21067580
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T21:20:00.000Z,18471230
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T21:40:00.000Z,17144490
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T22:00:00.000Z,16188450
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T22:20:00.000Z,14817740
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T22:40:00.000Z,13923140
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T23:00:00.000Z,13243450
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T23:20:00.000Z,12396390
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-12T23:40:00.000Z,11861290
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-13T00:00:00.000Z,11066080
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-13T00:20:00.000Z,10611860
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11,2020-09-13T00:40:00.000Z,10294390
