query,group,time,value
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T01:30:00.000Z,3162.511
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T01:35:00.000Z,3129.039
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T01:40:00.000Z,3086.436
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T01:45:00.000Z,3050.408
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T01:50:00.000Z,1905.96
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T01:55:00.000Z,45.65867
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T02:00:00.000Z,0.2853333
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T02:05:00.000Z,0.9546667
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T02:10:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T02:15:00.000Z,3080.44
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T02:20:00.000Z,3062.899
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T02:25:00.000Z,2953.899
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T02:30:00.000Z,2932.543
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T02:35:00.000Z,2510.001
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T02:40:00.000Z,314.302
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T02:45:00.000Z,0.01133333
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T02:50:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T02:55:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T03:00:00.000Z,1752.283
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T03:05:00.000Z,40.56467
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T03:10:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T03:15:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T03:20:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T03:25:00.000Z,0
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T03:30:00.000Z,3745.008
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T03:35:00.000Z,12900.4
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T03:40:00.000Z,12587.08
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T03:45:00.000Z,12495.49
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T03:50:00.000Z,11749.41
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T03:55:00.000Z,11485.09
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T04:00:00.000Z,11544.41
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T04:05:00.000Z,11616.95
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T04:10:00.000Z,11500.25
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T04:15:00.000Z,11376.26
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T04:20:00.000Z,11229.79
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T04:25:00.000Z,11138.48
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T04:30:00.000Z,11323.32
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T04:35:00.000Z,10963.24
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T04:40:00.000Z,11043.45
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T04:45:00.000Z,11021.1
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T04:50:00.000Z,11054.92
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T04:55:00.000Z,11274.84
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T05:00:00.000Z,11248.99
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T05:05:00.000Z,11430.76
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T05:10:00.000Z,11270.64
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T05:15:00.000Z,11423.64
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T05:20:00.000Z,10417.88
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T05:25:00.000Z,10005.68
"per_second(aws.es.searchable_documents)",hostname:N/A;staging:bench-11,2020-09-15T05:30:00.000Z,9551.227
