query,group,time,value
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:30:00.000Z,0.2739286
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:35:00.000Z,0.4892414
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:40:00.000Z,0.2279018
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:45:00.000Z,0.1930302
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:50:00.000Z,0.3642433
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:55:00.000Z,0.01124321
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:00:00.000Z,0.02207872
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:05:00.000Z,0.01706629
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:10:00.000Z,1.0596
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:15:00.000Z,1.600595
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:20:00.000Z,2.440152
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:25:00.000Z,2.854523
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:30:00.000Z,5.839774
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:35:00.000Z,4.532033
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:40:00.000Z,0.01249334
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:45:00.000Z,0.01750521
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:50:00.000Z,0.9109742
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:55:00.000Z,1.498555
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:00:00.000Z,1.137812
"mongodb.atlas.system.cpu.norm.iowait",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:05:00.000Z,0.2832224
