query,group,time,value
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:30:00.000Z,11.48157
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:35:00.000Z,11.84941
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:40:00.000Z,11.63585
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:45:00.000Z,11.3398
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:50:00.000Z,5.127343
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:55:00.000Z,0.4498289
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:00:00.000Z,0.8047005
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:05:00.000Z,0.9323628
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:10:00.000Z,9.726579
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:15:00.000Z,12.61847
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:20:00.000Z,13.30924
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:25:00.000Z,14.15261
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:30:00.000Z,12.89632
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:35:00.000Z,10.30129
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:40:00.000Z,0.5306738
"mongodb.atlas.system.cpu.norm.user",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:45:00.000Z,0.7945868
