query,group,time,value
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:30:00.000Z,3167138
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:35:00.000Z,3135490
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:40:00.000Z,3089629
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:45:00.000Z,3066155
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:50:00.000Z,1177175
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:55:00.000Z,358
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:00:00.000Z,767.9947
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:05:00.000Z,1853
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:10:00.000Z,27821590
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:15:00.000Z,34042070
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:20:00.000Z,33536990
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:25:00.000Z,8836061
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:30:00.000Z,7343916
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:35:00.000Z,8621737
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:40:00.000Z,401.9989
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:45:00.000Z,384.9992
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:50:00.000Z,20074510
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:55:00.000Z,29034290
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:00:00.000Z,14516980
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:05:00.000Z,361.0005
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:10:00.000Z,343.999
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:15:00.000Z,357.9989
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:20:00.000Z,376.999
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:25:00.000Z,2138.995
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:30:00.000Z,35711120
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:35:00.000Z,32604720
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:40:00.000Z,32238310
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:45:00.000Z,32354760
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:50:00.000Z,16854810
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T03:55:00.000Z,13761180
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T04:00:00.000Z,13725940
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T04:05:00.000Z,15051790
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T04:10:00.000Z,16835550
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T04:15:00.000Z,13989490
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T04:20:00.000Z,12437580
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T04:25:00.000Z,14276800
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T04:30:00.000Z,14247150
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T04:35:00.000Z,12430200
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T04:40:00.000Z,13815100
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T04:45:00.000Z,12933650
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T04:50:00.000Z,13736950
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T04:55:00.000Z,14896470
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T05:00:00.000Z,14903660
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T05:05:00.000Z,13518050
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T05:10:00.000Z,12890530
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T05:15:00.000Z,13405060
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T05:20:00.000Z,12408280
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T05:25:00.000Z,12411420
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T05:30:00.000Z,11214680
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T05:35:00.000Z,11786780
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T05:40:00.000Z,11853250
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T05:45:00.000Z,11091520
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T05:50:00.000Z,10800460
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T05:55:00.000Z,10940690
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T06:00:00.000Z,14425620
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T06:05:00.000Z,13190120
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T06:10:00.000Z,9821301
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T06:15:00.000Z,10630850
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T06:20:00.000Z,9832691
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T06:25:00.000Z,26990510
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T06:30:00.000Z,30002620
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T06:35:00.000Z,33591430
"mongodb.atlas.metrics.document.returned",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T06:40:00.000Z,31581680
