query,group,time,value
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:30:00.000Z,0.1976055
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:35:00.000Z,0.1974191
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:40:00.000Z,0.2047284
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:45:00.000Z,0.2027343
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:50:00.000Z,0.1792317
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T01:55:00.000Z,0.1372627
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:00:00.000Z,0.1501923
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:05:00.000Z,0.1416197
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:10:00.000Z,0.2905248
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:15:00.000Z,0.3374964
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:20:00.000Z,0.3362344
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:25:00.000Z,0.4820532
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:30:00.000Z,0.4811746
"mongodb.atlas.oplatencies.reads.avg",projectname:nxbench-bench11;replicasetname:atlas-880fxr-shard-0,2020-09-15T02:35:00.000Z,0.3811815
