query,group,time,value
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T01:30:00.000Z,11.4
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T01:35:00.000Z,14.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T01:40:00.000Z,14
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T01:45:00.000Z,14
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T01:50:00.000Z,5.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T01:55:00.000Z,0.4
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T02:00:00.000Z,1
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T02:05:00.000Z,0
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T02:10:00.000Z,9.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T02:15:00.000Z,13.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T02:20:00.000Z,11.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T02:25:00.000Z,12
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T02:30:00.000Z,10.6
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T02:35:00.000Z,7.4
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T02:40:00.000Z,0.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T02:45:00.000Z,0.6
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T02:50:00.000Z,6.8
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T02:55:00.000Z,12.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T03:00:00.000Z,4
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T03:05:00.000Z,0
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T03:10:00.000Z,0.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T03:15:00.000Z,1.4
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T03:20:00.000Z,0
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T03:25:00.000Z,4.8
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T03:30:00.000Z,31.4
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T03:35:00.000Z,30.4
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T03:40:00.000Z,32.6
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T03:45:00.000Z,31.6
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T03:50:00.000Z,32.8
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T03:55:00.000Z,29.4
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T04:00:00.000Z,29
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T04:05:00.000Z,29.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T04:10:00.000Z,33.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T04:15:00.000Z,30
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T04:20:00.000Z,28.6
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T04:25:00.000Z,26.6
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T04:30:00.000Z,29.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T04:35:00.000Z,28.8
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T04:40:00.000Z,29.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T04:45:00.000Z,29.8
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T04:50:00.000Z,29.4
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T04:55:00.000Z,29.6
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T05:00:00.000Z,27.4
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T05:05:00.000Z,30.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T05:10:00.000Z,27.4
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T05:15:00.000Z,30.6
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T05:20:00.000Z,28.6
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T05:25:00.000Z,28.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T05:30:00.000Z,26.2
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T05:35:00.000Z,26.6
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T05:40:00.000Z,26.4
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T05:45:00.000Z,27.6
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T05:50:00.000Z,21.8
"aws.es.cpuutilization.maximum",staging:bench-11,2020-09-15T05:55:00.000Z,26
